Algoritmo TamanhoEntrada TempoMedio
ComparaExtremos 350 27766
BuscaLinear 350 1426750
ComparaExtremos 486 9261
BuscaLinear 486 283233
ComparaExtremos 392 5268
BuscaLinear 392 2821046
ComparaExtremos 171 6934
BuscaLinear 171 99116
ComparaExtremos 232 4675
BuscaLinear 232 133635
ComparaExtremos 316 5516
BuscaLinear 316 181663
ComparaExtremos 284 923464
BuscaLinear 284 131932
ComparaExtremos 483 3572
BuscaLinear 483 215199
ComparaExtremos 281 4683
BuscaLinear 281 119153
ComparaExtremos 145 4660
BuscaLinear 145 65444
ComparaExtremos 21 3640
BuscaLinear 21 10829
ComparaExtremos 333 8563
BuscaLinear 333 146093
ComparaExtremos 370 4570
BuscaLinear 370 159067
ComparaExtremos 397 5456
BuscaLinear 397 173611
ComparaExtremos 465 6596
BuscaLinear 465 208108
ComparaExtremos 42 3572
BuscaLinear 42 21072
ComparaExtremos 252 5261
BuscaLinear 252 107993
ComparaExtremos 366 8000
BuscaLinear 366 157694
ComparaExtremos 98 7639
BuscaLinear 98 42841
ComparaExtremos 247 5110
BuscaLinear 247 106612
ComparaExtremos 341 4863
BuscaLinear 341 146686
ComparaExtremos 95 2882
BuscaLinear 95 43194
ComparaExtremos 158 3490
BuscaLinear 158 64034
ComparaExtremos 21 10146
BuscaLinear 21 11917
ComparaExtremos 150 3602
BuscaLinear 150 817572
ComparaExtremos 387 9192
BuscaLinear 387 43667
ComparaExtremos 192 4240
BuscaLinear 192 22482
ComparaExtremos 47 7782
BuscaLinear 47 8119
ComparaExtremos 156 5388
BuscaLinear 156 18821
ComparaExtremos 314 4338
BuscaLinear 314 35120
ComparaExtremos 55 4180
BuscaLinear 55 7264
ComparaExtremos 32 83170
BuscaLinear 32 5215
ComparaExtremos 126 13657
BuscaLinear 126 14498
ComparaExtremos 280 2867
BuscaLinear 280 35750
ComparaExtremos 494 21237
BuscaLinear 494 56470
ComparaExtremos 264 3714
BuscaLinear 264 29184
ComparaExtremos 345 2739
BuscaLinear 345 38167
ComparaExtremos 164 4638
BuscaLinear 164 19818
ComparaExtremos 92 2784
BuscaLinear 92 11099
ComparaExtremos 396 3009
BuscaLinear 396 48170
ComparaExtremos 381 3190
BuscaLinear 381 42744
ComparaExtremos 251 2154
BuscaLinear 251 27721
ComparaExtremos 311 5320
BuscaLinear 311 36328
ComparaExtremos 39 2514
BuscaLinear 39 5606
ComparaExtremos 497 2409
BuscaLinear 497 61310
ComparaExtremos 160 2026
BuscaLinear 160 18213
ComparaExtremos 473 2807
BuscaLinear 473 53138
ComparaExtremos 432 4532
BuscaLinear 432 53220
ComparaExtremos 150 4435
BuscaLinear 150 18491
ComparaExtremos 392 3061
BuscaLinear 392 47824
ComparaExtremos 224 3047
BuscaLinear 224 25154
ComparaExtremos 411 7137
BuscaLinear 411 46272
ComparaExtremos 291 2304
BuscaLinear 291 32238
ComparaExtremos 77 2326
BuscaLinear 77 9403
ComparaExtremos 224 4248
BuscaLinear 224 26048
ComparaExtremos 210 2454
BuscaLinear 210 24036
ComparaExtremos 11 2071
BuscaLinear 11 2739
ComparaExtremos 339 3241
BuscaLinear 339 42346
ComparaExtremos 331 2544
BuscaLinear 331 36809
ComparaExtremos 74 2071
BuscaLinear 74 9223
ComparaExtremos 263 2356
BuscaLinear 263 29274
ComparaExtremos 315 4398
BuscaLinear 315 36455
ComparaExtremos 425 3099
BuscaLinear 425 47974
ComparaExtremos 270 2979
BuscaLinear 270 36156
ComparaExtremos 356 3137
BuscaLinear 356 39517
ComparaExtremos 3 2184
BuscaLinear 3 1816
ComparaExtremos 374 2161
BuscaLinear 374 41618
ComparaExtremos 379 2822
BuscaLinear 379 6656207
ComparaExtremos 447 3557
BuscaLinear 447 118304
ComparaExtremos 397 5936
BuscaLinear 397 46016
ComparaExtremos 388 2709
BuscaLinear 388 42804
ComparaExtremos 141 2994
BuscaLinear 141 16397
ComparaExtremos 184 2267
BuscaLinear 184 20629
ComparaExtremos 99 2019
BuscaLinear 99 12134
ComparaExtremos 188 2311
BuscaLinear 188 21004
ComparaExtremos 149 2109
BuscaLinear 149 22708
ComparaExtremos 434 14498
BuscaLinear 434 47570
ComparaExtremos 354 48905
BuscaLinear 354 40703
ComparaExtremos 228 1419
BuscaLinear 228 25559
ComparaExtremos 231 1350
BuscaLinear 231 26092
ComparaExtremos 259 1614
BuscaLinear 259 33881
ComparaExtremos 259 2904
BuscaLinear 259 33011
ComparaExtremos 150 1448
BuscaLinear 150 17485
ComparaExtremos 429 2341
BuscaLinear 429 53790
ComparaExtremos 333 2957
BuscaLinear 333 36681
ComparaExtremos 242 1561
BuscaLinear 242 27397
ComparaExtremos 189 1599
BuscaLinear 189 21207
ComparaExtremos 59 3377
BuscaLinear 59 9163
ComparaExtremos 335 1824
BuscaLinear 335 42489
ComparaExtremos 232 2334
BuscaLinear 232 26363
ComparaExtremos 126 1704
BuscaLinear 126 14731
ComparaExtremos 81 1591
BuscaLinear 81 10198
ComparaExtremos 329 1763
BuscaLinear 329 37056
ComparaExtremos 87 8353
BuscaLinear 87 10506
ComparaExtremos 80 1396
BuscaLinear 80 9748
ComparaExtremos 291 2004
BuscaLinear 291 32328
ComparaExtremos 385 2769
BuscaLinear 385 48004
ComparaExtremos 35 1606
BuscaLinear 35 5095
ComparaExtremos 207 1883
BuscaLinear 207 4091642
