Algoritmo TamanhoEntrada TempoMedio
ComparaExtremos 29647 779
BuscaLinear 29647 463469
ComparaExtremos 1 2340
BuscaLinear 1 117
ComparaExtremos 10616 104
BuscaLinear 10616 131167
ComparaExtremos 1 97
BuscaLinear 1 82
ComparaExtremos 21374 141
BuscaLinear 21374 446598
ComparaExtremos 1 113
BuscaLinear 1 91
ComparaExtremos 26727 299
BuscaLinear 26727 573232
ComparaExtremos 1 201
BuscaLinear 1 84
ComparaExtremos 25383 249
BuscaLinear 25383 536243
ComparaExtremos 1 79
BuscaLinear 1 83
ComparaExtremos 4385 153
BuscaLinear 4385 57251
ComparaExtremos 1 111
BuscaLinear 1 102
ComparaExtremos 17182 10247
BuscaLinear 17182 311129
ComparaExtremos 1 110
BuscaLinear 1 105
ComparaExtremos 10052 273
BuscaLinear 10052 140415
ComparaExtremos 1 95
BuscaLinear 1 83
ComparaExtremos 13453 118
BuscaLinear 13453 93823
ComparaExtremos 1 141
BuscaLinear 1 84
ComparaExtremos 7357 12631
BuscaLinear 7357 45029
ComparaExtremos 1 68
BuscaLinear 1 83
ComparaExtremos 30459 129
BuscaLinear 30459 552597
ComparaExtremos 1 68
BuscaLinear 1 83
ComparaExtremos 25599 129
BuscaLinear 25599 291559
ComparaExtremos 1 67
BuscaLinear 1 119
ComparaExtremos 16871 87
BuscaLinear 16871 310531
ComparaExtremos 1 67
BuscaLinear 1 105
ComparaExtremos 24021 83
BuscaLinear 24021 545223
ComparaExtremos 1 85
BuscaLinear 1 84
ComparaExtremos 18849 83
BuscaLinear 18849 224732
ComparaExtremos 1 66
BuscaLinear 1 83
ComparaExtremos 32584 85
BuscaLinear 32584 476450
ComparaExtremos 1 366
BuscaLinear 1 93
ComparaExtremos 5651 112
BuscaLinear 5651 34511
ComparaExtremos 1 65
BuscaLinear 1 82
ComparaExtremos 28790 129
BuscaLinear 28790 303803
ComparaExtremos 1 66
BuscaLinear 1 117
ComparaExtremos 12028 80
BuscaLinear 12028 74683
ComparaExtremos 1 105
BuscaLinear 1 82
ComparaExtremos 4748 73
BuscaLinear 4748 28689
ComparaExtremos 1 102
BuscaLinear 1 81
