Algoritmo TamanhoEntrada TempoMedio
ComparaExtremos 29647 53121
BuscaLinear 29647 24951232
ComparaExtremos 1 3511
BuscaLinear 1 3512
ComparaExtremos 10616 10886
BuscaLinear 10616 5163737
ComparaExtremos 1 3068
BuscaLinear 1 3428
ComparaExtremos 21374 13708
BuscaLinear 21374 3542893
ComparaExtremos 1 3173
BuscaLinear 1 3684
ComparaExtremos 26727 25015
BuscaLinear 26727 4221473
ComparaExtremos 1 3587
BuscaLinear 1 3744
ComparaExtremos 25383 14316
BuscaLinear 25383 4460599
ComparaExtremos 1 2724
BuscaLinear 1 3121
ComparaExtremos 4385 11967
BuscaLinear 4385 784942
ComparaExtremos 1 5942
BuscaLinear 1 4591
ComparaExtremos 17182 13941
BuscaLinear 17182 3002315
ComparaExtremos 1 3242
BuscaLinear 1 3632
ComparaExtremos 10052 12455
BuscaLinear 10052 1692684
ComparaExtremos 1 3017
BuscaLinear 1 3436
ComparaExtremos 13453 13768
BuscaLinear 13453 2052398
ComparaExtremos 1 3196
BuscaLinear 1 3159
ComparaExtremos 7357 11682
BuscaLinear 7357 1002322
ComparaExtremos 1 3241
BuscaLinear 1 3061
ComparaExtremos 30459 83335
BuscaLinear 30459 31422852
ComparaExtremos 1 4659
BuscaLinear 1 31879
ComparaExtremos 25599 83035
BuscaLinear 25599 1449871
ComparaExtremos 1 3256
BuscaLinear 1 2003
ComparaExtremos 16871 15118
BuscaLinear 16871 843320
ComparaExtremos 1 11937
BuscaLinear 1 2093
ComparaExtremos 24021 17392
BuscaLinear 24021 1335631
ComparaExtremos 1 3158
BuscaLinear 1 1801
ComparaExtremos 18849 26485
BuscaLinear 18849 974936
ComparaExtremos 1 5132
BuscaLinear 1 2093
ComparaExtremos 32584 15599
BuscaLinear 32584 5917069
ComparaExtremos 1 89097
BuscaLinear 1 2049
ComparaExtremos 5651 24789
BuscaLinear 5651 200531
ComparaExtremos 1 2101
BuscaLinear 1 1426
ComparaExtremos 28790 53773
BuscaLinear 28790 9726704
ComparaExtremos 1 3699
BuscaLinear 1 1696
ComparaExtremos 12028 10662
BuscaLinear 12028 4043441
ComparaExtremos 1 2866
BuscaLinear 1 1455
ComparaExtremos 4748 8051
BuscaLinear 4748 165755
ComparaExtremos 1 2453
BuscaLinear 1 1366
ComparaExtremos 17894 11006
BuscaLinear 17894 939658
ComparaExtremos 1 4606
BuscaLinear 1 2461
ComparaExtremos 5466 11375
BuscaLinear 5466 219648
ComparaExtremos 1 2874
BuscaLinear 1 1644
ComparaExtremos 28694 10992
BuscaLinear 28694 1614394
ComparaExtremos 1 2828
BuscaLinear 1 1755
ComparaExtremos 6014 7120
BuscaLinear 6014 229454
ComparaExtremos 1 4397
BuscaLinear 1 2251
ComparaExtremos 11270 10001
BuscaLinear 11270 437855
ComparaExtremos 1 3249
BuscaLinear 1 1808
ComparaExtremos 25579 11953
BuscaLinear 25579 1633984
ComparaExtremos 1 30732
BuscaLinear 1 1951
ComparaExtremos 1675 58696
BuscaLinear 1675 59956
ComparaExtremos 1 1388
BuscaLinear 1 1261
ComparaExtremos 23044 8846
BuscaLinear 23044 1251659
ComparaExtremos 1 2513
BuscaLinear 1 2303
ComparaExtremos 25164 8846
BuscaLinear 25164 1459070
ComparaExtremos 1 2131
BuscaLinear 1 1853
ComparaExtremos 28150 8824
BuscaLinear 28150 1608828
ComparaExtremos 1 1981
BuscaLinear 1 1726
ComparaExtremos 30711 9822
BuscaLinear 30711 1678920
ComparaExtremos 1 2431
BuscaLinear 1 2123
ComparaExtremos 15166 9596
BuscaLinear 15166 685848
ComparaExtremos 1 3602
BuscaLinear 1 3849
ComparaExtremos 27396 8628
BuscaLinear 27396 1543335
ComparaExtremos 1 2138
BuscaLinear 1 1734
ComparaExtremos 23753 11329
BuscaLinear 23753 1343457
ComparaExtremos 1 2296
BuscaLinear 1 2033
ComparaExtremos 3064 4059
BuscaLinear 3064 106624
ComparaExtremos 1 1906
BuscaLinear 1 3466
ComparaExtremos 21869 9296
BuscaLinear 21869 1189414
ComparaExtremos 1 2394
BuscaLinear 1 1988
ComparaExtremos 13340 8493
BuscaLinear 13340 562554
ComparaExtremos 1 2116
BuscaLinear 1 1741
ComparaExtremos 19819 8951
BuscaLinear 19819 1079737
ComparaExtremos 1 2266
BuscaLinear 1 1733
ComparaExtremos 16420 8876
BuscaLinear 16420 792826
ComparaExtremos 1 1914
BuscaLinear 1 1381
ComparaExtremos 2603 4029
BuscaLinear 2603 83575
ComparaExtremos 1 1268
BuscaLinear 1 1155
ComparaExtremos 2463 8621
BuscaLinear 2463 82412
ComparaExtremos 1 1260
BuscaLinear 1 5312
ComparaExtremos 21380 8418
BuscaLinear 21380 1141313
ComparaExtremos 1 2326
BuscaLinear 1 1636
ComparaExtremos 15194 107539
BuscaLinear 15194 736163
ComparaExtremos 1 2528
BuscaLinear 1 1493
ComparaExtremos 28094 48567
BuscaLinear 28094 2156826
ComparaExtremos 1 3511
BuscaLinear 1 1703
ComparaExtremos 2377 5245
BuscaLinear 2377 85593
ComparaExtremos 1 1523
BuscaLinear 1 1411
ComparaExtremos 11371 5493
BuscaLinear 11371 440744
ComparaExtremos 1 2836
BuscaLinear 1 1740
ComparaExtremos 26240 7052
