Algoritmo TamanhoEntrada TempoMedio
ComparaExtremos 350 1151
BuscaLinear 350 113063
ComparaExtremos 486 1021
BuscaLinear 486 41030
ComparaExtremos 392 24680
BuscaLinear 392 33065
ComparaExtremos 171 526
BuscaLinear 171 34650
ComparaExtremos 232 635
BuscaLinear 232 5968
ComparaExtremos 316 29413
BuscaLinear 316 7054
ComparaExtremos 284 254
BuscaLinear 284 6139
ComparaExtremos 483 250
BuscaLinear 483 139341
ComparaExtremos 281 27778
BuscaLinear 281 6298
ComparaExtremos 145 178
BuscaLinear 145 3099
ComparaExtremos 21 156
BuscaLinear 21 561
ComparaExtremos 333 230
BuscaLinear 333 7315
ComparaExtremos 370 174
BuscaLinear 370 8100
ComparaExtremos 397 165
BuscaLinear 397 8756
ComparaExtremos 465 210
BuscaLinear 465 10303
ComparaExtremos 42 157
BuscaLinear 42 987
ComparaExtremos 252 198
BuscaLinear 252 5574
ComparaExtremos 366 226
BuscaLinear 366 8064
ComparaExtremos 98 145
BuscaLinear 98 2508
ComparaExtremos 247 254
BuscaLinear 247 5374
ComparaExtremos 341 234
BuscaLinear 341 13944
ComparaExtremos 95 183
BuscaLinear 95 2085
ComparaExtremos 158 166
BuscaLinear 158 6951
ComparaExtremos 21 188
BuscaLinear 21 563
ComparaExtremos 150 170
BuscaLinear 150 4975
ComparaExtremos 387 200
BuscaLinear 387 146554
ComparaExtremos 192 231
BuscaLinear 192 6954
ComparaExtremos 47 260
BuscaLinear 47 1141
ComparaExtremos 156 180
BuscaLinear 156 3346
ComparaExtremos 314 187
BuscaLinear 314 11095
ComparaExtremos 55 204
BuscaLinear 55 1260
ComparaExtremos 32 2812
BuscaLinear 32 786
ComparaExtremos 126 136524
BuscaLinear 126 2805
ComparaExtremos 280 166
BuscaLinear 280 99521
ComparaExtremos 494 234
BuscaLinear 494 15463
ComparaExtremos 264 219
BuscaLinear 264 28813
ComparaExtremos 345 358
BuscaLinear 345 9770
ComparaExtremos 164 201
BuscaLinear 164 1189
ComparaExtremos 92 189
BuscaLinear 92 470
ComparaExtremos 396 315
BuscaLinear 396 2208
ComparaExtremos 381 184
BuscaLinear 381 2146
ComparaExtremos 251 157
BuscaLinear 251 1126
ComparaExtremos 311 823
BuscaLinear 311 1639
ComparaExtremos 39 193
BuscaLinear 39 257
ComparaExtremos 497 212
BuscaLinear 497 2919
ComparaExtremos 160 157
BuscaLinear 160 748
ComparaExtremos 473 186
BuscaLinear 473 2741
ComparaExtremos 432 200
BuscaLinear 432 2429
ComparaExtremos 150 181
BuscaLinear 150 697
ComparaExtremos 392 226
BuscaLinear 392 2170
ComparaExtremos 224 358
BuscaLinear 224 1011
ComparaExtremos 411 164
BuscaLinear 411 2231
ComparaExtremos 291 155
BuscaLinear 291 1263
ComparaExtremos 77 159
BuscaLinear 77 412
ComparaExtremos 224 152
BuscaLinear 224 991
ComparaExtremos 210 227
BuscaLinear 210 972
ComparaExtremos 11 157
BuscaLinear 11 154
ComparaExtremos 339 199
BuscaLinear 339 1602
ComparaExtremos 331 146
BuscaLinear 331 1538
ComparaExtremos 74 146
BuscaLinear 74 399
ComparaExtremos 263 141
BuscaLinear 263 1221
ComparaExtremos 315 167
BuscaLinear 315 1419
ComparaExtremos 425 203
BuscaLinear 425 2365
ComparaExtremos 270 203
BuscaLinear 270 1293
ComparaExtremos 356 188
BuscaLinear 356 1781
ComparaExtremos 3 142
BuscaLinear 3 121
ComparaExtremos 374 160
BuscaLinear 374 1992
ComparaExtremos 379 292
BuscaLinear 379 2077
ComparaExtremos 447 161
BuscaLinear 447 2553
ComparaExtremos 397 262
BuscaLinear 397 2227
ComparaExtremos 388 339
BuscaLinear 388 2153
ComparaExtremos 141 200
BuscaLinear 141 672
ComparaExtremos 184 160
BuscaLinear 184 841
ComparaExtremos 99 297
BuscaLinear 99 493
ComparaExtremos 188 175
BuscaLinear 188 857
ComparaExtremos 149 246
BuscaLinear 149 738
ComparaExtremos 434 269
BuscaLinear 434 2445
ComparaExtremos 354 232
BuscaLinear 354 1751
ComparaExtremos 228 146
BuscaLinear 228 1008
ComparaExtremos 231 156
BuscaLinear 231 1033
ComparaExtremos 259 152
BuscaLinear 259 1172
ComparaExtremos 259 180
BuscaLinear 259 1195
ComparaExtremos 150 153
BuscaLinear 150 704
ComparaExtremos 429 180
BuscaLinear 429 2548
ComparaExtremos 333 189
BuscaLinear 333 137138
ComparaExtremos 242 209
BuscaLinear 242 1095
ComparaExtremos 189 189
BuscaLinear 189 855
ComparaExtremos 59 149
BuscaLinear 59 343
ComparaExtremos 335 158
BuscaLinear 335 1714
ComparaExtremos 232 159
BuscaLinear 232 1045
ComparaExtremos 126 173
BuscaLinear 126 605
ComparaExtremos 81 185
BuscaLinear 81 426
ComparaExtremos 329 184
BuscaLinear 329 1603
ComparaExtremos 87 151
BuscaLinear 87 450
ComparaExtremos 80 149
BuscaLinear 80 425
ComparaExtremos 291 191
BuscaLinear 291 1334
ComparaExtremos 385 256
BuscaLinear 385 2169
ComparaExtremos 35 143
BuscaLinear 35 243
ComparaExtremos 207 180
BuscaLinear 207 921
ComparaExtremos 395 167
BuscaLinear 395 2127
ComparaExtremos 47 151
BuscaLinear 47 537
ComparaExtremos 259 220
BuscaLinear 259 1176
ComparaExtremos 371 151
BuscaLinear 371 2007
ComparaExtremos 421 177
BuscaLinear 421 2251
ComparaExtremos 242 356
BuscaLinear 242 1107
ComparaExtremos 393 147
BuscaLinear 393 2161
ComparaExtremos 369 153
BuscaLinear 369 1959
ComparaExtremos 361 459
BuscaLinear 361 1888
ComparaExtremos 228 195
BuscaLinear 228 1012
ComparaExtremos 96 142
BuscaLinear 96 487
ComparaExtremos 41 266
BuscaLinear 41 272
ComparaExtremos 198 150
BuscaLinear 198 893
ComparaExtremos 435 152
BuscaLinear 435 2387
ComparaExtremos 492 251
BuscaLinear 492 4372
ComparaExtremos 101 170
BuscaLinear 101 511
ComparaExtremos 55 158
BuscaLinear 55 326
ComparaExtremos 332 192
BuscaLinear 332 1630
ComparaExtremos 1 97
BuscaLinear 1 287
ComparaExtremos 386 192
BuscaLinear 386 2086
ComparaExtremos 222 153
BuscaLinear 222 1025
ComparaExtremos 266 162
BuscaLinear 266 1188
ComparaExtremos 411 153
BuscaLinear 411 2229
ComparaExtremos 330 149
BuscaLinear 330 1569
ComparaExtremos 281 140
BuscaLinear 281 1235
ComparaExtremos 40 157
BuscaLinear 40 266
ComparaExtremos 274 272
BuscaLinear 274 1267
ComparaExtremos 150 196
BuscaLinear 150 704
ComparaExtremos 197 143
BuscaLinear 197 922
ComparaExtremos 321 171
BuscaLinear 321 1496
ComparaExtremos 448 155
BuscaLinear 448 2526
ComparaExtremos 227 193
BuscaLinear 227 1191
ComparaExtremos 146 181
BuscaLinear 146 690
ComparaExtremos 478 222
BuscaLinear 478 2723
ComparaExtremos 346 182
BuscaLinear 346 1754
ComparaExtremos 416 329
BuscaLinear 416 215424
ComparaExtremos 217 221
BuscaLinear 217 965
ComparaExtremos 259 146
BuscaLinear 259 1218
ComparaExtremos 116 178
BuscaLinear 116 571
ComparaExtremos 8 149
BuscaLinear 8 141
ComparaExtremos 183 264
BuscaLinear 183 827
ComparaExtremos 111 168
BuscaLinear 111 541
ComparaExtremos 262 251
BuscaLinear 262 1210
ComparaExtremos 353 148
BuscaLinear 353 1772
ComparaExtremos 408 237
BuscaLinear 408 2277
ComparaExtremos 233 164
BuscaLinear 233 1028
ComparaExtremos 189 292
BuscaLinear 189 862
ComparaExtremos 73 147
BuscaLinear 73 397
ComparaExtremos 455 150
BuscaLinear 455 2618
ComparaExtremos 368 195
BuscaLinear 368 1954
ComparaExtremos 231 147
BuscaLinear 231 1036
ComparaExtremos 129 186
BuscaLinear 129 614
ComparaExtremos 157 399
BuscaLinear 157 728
ComparaExtremos 392 157
BuscaLinear 392 2175
ComparaExtremos 375 176
BuscaLinear 375 2048
ComparaExtremos 27 145
BuscaLinear 27 213
ComparaExtremos 483 222
BuscaLinear 483 2875
ComparaExtremos 339 195
BuscaLinear 339 1660
ComparaExtremos 334 152
BuscaLinear 334 1661
ComparaExtremos 214 188
BuscaLinear 214 992
ComparaExtremos 415 147
BuscaLinear 415 2351
ComparaExtremos 388 158
BuscaLinear 388 2108
ComparaExtremos 273 168
BuscaLinear 273 1243
ComparaExtremos 233 177
BuscaLinear 233 1029
ComparaExtremos 335 184
BuscaLinear 335 1615
ComparaExtremos 122 148
BuscaLinear 122 593
ComparaExtremos 100 154
BuscaLinear 100 507
ComparaExtremos 323 238
BuscaLinear 323 1556
ComparaExtremos 54 152
BuscaLinear 54 673
ComparaExtremos 463 186
BuscaLinear 463 2591
ComparaExtremos 205 209
BuscaLinear 205 1085
ComparaExtremos 198 182
BuscaLinear 198 891
ComparaExtremos 241 143
BuscaLinear 241 1065
ComparaExtremos 388 162
BuscaLinear 388 2104
ComparaExtremos 385 162
BuscaLinear 385 2108
ComparaExtremos 178 276
BuscaLinear 178 835
ComparaExtremos 25 165
BuscaLinear 25 212
ComparaExtremos 302 259
BuscaLinear 302 1361
ComparaExtremos 120 150
BuscaLinear 120 582
ComparaExtremos 209 152
BuscaLinear 209 967
ComparaExtremos 310 797
BuscaLinear 310 1625
ComparaExtremos 20 163
BuscaLinear 20 195
ComparaExtremos 331 140
BuscaLinear 331 1615
ComparaExtremos 65 177
BuscaLinear 65 361
ComparaExtremos 413 254
BuscaLinear 413 3072
ComparaExtremos 384 204
BuscaLinear 384 2347
ComparaExtremos 483 189
BuscaLinear 483 2815
ComparaExtremos 209 148
BuscaLinear 209 960
ComparaExtremos 351 184
BuscaLinear 351 1648
ComparaExtremos 79 159
BuscaLinear 79 417
ComparaExtremos 233 142
BuscaLinear 233 1047
ComparaExtremos 181 176
BuscaLinear 181 823
ComparaExtremos 198 150
BuscaLinear 198 898
ComparaExtremos 472 166
BuscaLinear 472 2698
ComparaExtremos 70 178
BuscaLinear 70 386
ComparaExtremos 296 377
BuscaLinear 296 1420
ComparaExtremos 461 202
BuscaLinear 461 2659
ComparaExtremos 212 153
BuscaLinear 212 978
ComparaExtremos 28 177
BuscaLinear 28 221
ComparaExtremos 315 179
BuscaLinear 315 1466
ComparaExtremos 473 153
BuscaLinear 473 2759
