Algoritmo TamanhoEntrada TempoMedio
ComparaExtremos 29647 2158
BuscaLinear 29647 1897359
ComparaExtremos 1 24759
BuscaLinear 1 318
ComparaExtremos 10616 1581
BuscaLinear 10616 563966
ComparaExtremos 1 221
BuscaLinear 1 220
ComparaExtremos 21374 1018
BuscaLinear 21374 1436662
ComparaExtremos 1 242
BuscaLinear 1 298
ComparaExtremos 26727 618
BuscaLinear 26727 816868
ComparaExtremos 1 245
BuscaLinear 1 228
ComparaExtremos 25383 24808
BuscaLinear 25383 1946349
ComparaExtremos 1 125
BuscaLinear 1 228
ComparaExtremos 4385 1658
BuscaLinear 4385 266238
ComparaExtremos 1 152
BuscaLinear 1 1046
ComparaExtremos 17182 8700
BuscaLinear 17182 1654037
ComparaExtremos 1 146
BuscaLinear 1 129
ComparaExtremos 10052 272
BuscaLinear 10052 62461
ComparaExtremos 1 120
BuscaLinear 1 124
ComparaExtremos 13453 297
BuscaLinear 13453 235783
ComparaExtremos 1 127
BuscaLinear 1 135
ComparaExtremos 7357 275
BuscaLinear 7357 46568
ComparaExtremos 1 168
BuscaLinear 1 146
ComparaExtremos 30459 321
BuscaLinear 30459 608372
ComparaExtremos 1 129
BuscaLinear 1 133
ComparaExtremos 25599 315
BuscaLinear 25599 543941
ComparaExtremos 1 135
BuscaLinear 1 134
ComparaExtremos 16871 302
BuscaLinear 16871 1178294
ComparaExtremos 1 133
BuscaLinear 1 131
ComparaExtremos 24021 314
BuscaLinear 24021 509403
ComparaExtremos 1 122
BuscaLinear 1 133
ComparaExtremos 18849 320
BuscaLinear 18849 485310
ComparaExtremos 1 124
BuscaLinear 1 138
ComparaExtremos 32584 313
BuscaLinear 32584 1041816
ComparaExtremos 1 3121
BuscaLinear 1 132
ComparaExtremos 5651 232
BuscaLinear 5651 35594
ComparaExtremos 1 124
BuscaLinear 1 465
ComparaExtremos 28790 292
BuscaLinear 28790 656709
ComparaExtremos 1 433
BuscaLinear 1 119
ComparaExtremos 12028 254
BuscaLinear 12028 161145
ComparaExtremos 1 130
BuscaLinear 1 119
ComparaExtremos 4748 255
BuscaLinear 4748 73368
ComparaExtremos 1 108
BuscaLinear 1 111
ComparaExtremos 17894 269
BuscaLinear 17894 444510
ComparaExtremos 1 123
BuscaLinear 1 134
ComparaExtremos 5466 276
BuscaLinear 5466 143065
ComparaExtremos 1 120
BuscaLinear 1 118
ComparaExtremos 28694 328
BuscaLinear 28694 318940
ComparaExtremos 1 123
BuscaLinear 1 119
ComparaExtremos 6014 225
BuscaLinear 6014 36665
ComparaExtremos 1 118
BuscaLinear 1 131
ComparaExtremos 11270 305
BuscaLinear 11270 75697
ComparaExtremos 1 125
BuscaLinear 1 118
ComparaExtremos 25579 770
BuscaLinear 25579 317961
ComparaExtremos 1 118
BuscaLinear 1 121
ComparaExtremos 1675 177
BuscaLinear 1675 10366
ComparaExtremos 1 96
BuscaLinear 1 103
ComparaExtremos 23044 270
BuscaLinear 23044 266561
ComparaExtremos 1 124
BuscaLinear 1 121
ComparaExtremos 25164 284
BuscaLinear 25164 280456
ComparaExtremos 1 118
BuscaLinear 1 120
ComparaExtremos 28150 263
BuscaLinear 28150 312506
ComparaExtremos 1 115
BuscaLinear 1 121
ComparaExtremos 30711 331
BuscaLinear 30711 746161
ComparaExtremos 1 125
BuscaLinear 1 126
ComparaExtremos 15166 317
BuscaLinear 15166 391941
ComparaExtremos 1 139
BuscaLinear 1 135
ComparaExtremos 27396 303
BuscaLinear 27396 585706
ComparaExtremos 1 119
BuscaLinear 1 115
ComparaExtremos 23753 307
BuscaLinear 23753 529737
ComparaExtremos 1 579
BuscaLinear 1 119
ComparaExtremos 3064 1077
BuscaLinear 3064 18646
ComparaExtremos 1 290
BuscaLinear 1 104
ComparaExtremos 21869 308
BuscaLinear 21869 240762
ComparaExtremos 1 1754
BuscaLinear 1 116
ComparaExtremos 13340 309
BuscaLinear 13340 97244
ComparaExtremos 1 135
BuscaLinear 1 116
ComparaExtremos 19819 308
BuscaLinear 19819 199617
ComparaExtremos 1 126
BuscaLinear 1 127
ComparaExtremos 16420 291
BuscaLinear 16420 139506
ComparaExtremos 1 126
BuscaLinear 1 114
ComparaExtremos 2603 174
BuscaLinear 2603 15627
ComparaExtremos 1 100
BuscaLinear 1 107
ComparaExtremos 2463 194
BuscaLinear 2463 15088
ComparaExtremos 1 99
BuscaLinear 1 108
ComparaExtremos 21380 333
BuscaLinear 21380 226461
ComparaExtremos 1 132
BuscaLinear 1 479
ComparaExtremos 15194 320
BuscaLinear 15194 123788
ComparaExtremos 1 144
BuscaLinear 1 115
ComparaExtremos 28094 325
BuscaLinear 28094 314382
ComparaExtremos 1 135
BuscaLinear 1 115
ComparaExtremos 2377 189
BuscaLinear 2377 14587
ComparaExtremos 1 109
BuscaLinear 1 113
ComparaExtremos 11371 333
BuscaLinear 11371 74381
ComparaExtremos 1 128
BuscaLinear 1 112
ComparaExtremos 26240 331
BuscaLinear 26240 624294
ComparaExtremos 1 133
BuscaLinear 1 119
ComparaExtremos 14859 317
BuscaLinear 14859 118588
ComparaExtremos 1 174
BuscaLinear 1 123
ComparaExtremos 12637 299
BuscaLinear 12637 149126
ComparaExtremos 1 125
BuscaLinear 1 119
ComparaExtremos 3968 267
